Band,Threshold,Delay (us),Latest (mV),Mean (mV),Std (mV)
40µs/10.6kHz,4.5V,8.56,4304.2,4307.2,3.1
40µs/10.6kHz,4.0V,8.98,3730.1,3731.6,1.6
40µs/10.6kHz,3.5V,9.37,3180.0,3180.5,0.6
40µs/10.6kHz,3.0V,9.72,2684.1,2684.5,0.5
40µs/10.6kHz,2.5V,10.08,2212.9,2213.4,0.3
40µs/10.6kHz,2.0V,10.49,1743.1,1743.4,0.2
40µs/10.6kHz,1.5V,10.96,1291.4,1291.6,0.2
40µs/10.6kHz,1.0V,11.57,852.2,852.2,0.1
40µs/10.6kHz,0.5V,12.53,409.2,409.0,0.1
30µs/17.6kHz,4.5V,8.12,4299.6,4299.8,0.3
30µs/17.6kHz,4.0V,8.54,3764.6,3765.0,0.3
30µs/17.6kHz,3.5V,8.92,3218.4,3218.3,0.1
30µs/17.6kHz,3.0V,9.27,2729.5,2729.8,0.2
30µs/17.6kHz,2.5V,9.63,2241.5,2241.5,0.1
30µs/17.6kHz,2.0V,10.02,1789.5,1789.5,0.1
30µs/17.6kHz,1.5V,10.50,1317.5,1317.6,0.1
30µs/17.6kHz,1.0V,11.10,871.2,871.3,0.1
30µs/17.6kHz,0.5V,12.03,422.7,422.8,0.1
20µs/29.2kHz,4.5V,7.62,4326.3,4326.9,0.5
20µs/29.2kHz,4.0V,8.03,3791.3,3791.3,0.2
20µs/29.2kHz,3.5V,8.40,3261.8,3260.6,3.0
20µs/29.2kHz,3.0V,8.75,2754.7,2754.6,0.2
20µs/29.2kHz,2.5V,9.11,2268.1,2268.2,0.1
20µs/29.2kHz,2.0V,9.50,1806.6,1806.9,0.2
20µs/29.2kHz,1.5V,9.96,1339.6,1339.7,0.1
20µs/29.2kHz,1.0V,10.55,886.0,886.1,0.1
20µs/29.2kHz,0.5V,11.46,435.5,435.6,0.1
10µs/43.0kHz,4.5V,6.80,4341.4,4341.6,0.7
10µs/43.0kHz,4.0V,7.22,3802.5,3802.7,0.2
10µs/43.0kHz,3.5V,7.58,3276.6,3276.5,0.1
10µs/43.0kHz,3.0V,7.93,2758.9,2759.2,0.1
10µs/43.0kHz,2.5V,8.28,2273.3,2273.6,0.2
10µs/43.0kHz,2.0V,8.66,1811.8,1811.6,0.1
10µs/43.0kHz,1.5V,9.11,1348.6,1348.6,0.1
10µs/43.0kHz,1.0V,9.70,881.7,881.8,0.2
10µs/43.0kHz,0.5V,10.57,433.3,433.2,0.2
5µs/57.0kHz,4.5V,6.03,4313.7,4315.1,0.6
5µs/57.0kHz,4.0V,6.43,3798.9,3798.8,0.3
5µs/57.0kHz,3.5V,6.78,3278.6,3279.1,0.3
5µs/57.0kHz,3.0V,7.12,2779.7,2779.7,0.1
5µs/57.0kHz,2.5V,7.46,2297.3,2297.4,0.1
5µs/57.0kHz,2.0V,7.84,1826.1,1825.9,0.1
5µs/57.0kHz,1.5V,8.28,1360.7,1360.6,0.1
5µs/57.0kHz,1.0V,8.85,893.3,893.4,0.1
5µs/57.0kHz,0.5V,9.71,432.7,429.4,6.1
